**********************
PowerShell transcript start
Start time: 20260814224426
**********************
Console HostChecker 启动!
172.64.146.116: 94 ms
47.102.115.14: 18 ms
210.140.139.133: 134 ms
183.56.143.147: 37 ms
104.16.89.20: 173 ms
151.101.0.84: 160 ms
66.254.114.40: 110 ms
20.43.161.105: 87 ms
20.27.177.113: 60 ms
20.43.160.189: 95 ms
20.205.243.168: 89 ms
185.199.110.154: 128 ms
185.199.108.133: 142 ms
178.162.151.58: 214 ms
109.236.85.28: 225 ms
172.66.132.196: 204 ms
104.17.35.109: 173 ms
64.29.17.193: 65 ms
20.205.243.165: 98 ms
178.162.151.56: 220 ms
76.76.21.21: 69 ms
178.175.132.22: 225 ms
89.149.221.236: 223 ms
186.2.163.20: 215 ms
23.39.61.133: 114 ms
89.222.127.8: 224 ms
109.238.90.239: 220 ms
157.240.22.169: 184 ms
151.101.66.133: 170 ms
3.167.200.113: 217 ms
67.63.60.231: 184 ms
34.111.15.3: 128 ms
104.18.223.226: 178 ms
157.240.225.60: 226 ms
198.251.89.38: 290 ms
157.240.27.174: 268 ms
34.111.35.152: 180 ms
104.20.8.2: 188 ms
140.82.113.18: 262 ms
185.15.59.224: 230 ms
13.107.42.13: 70 ms
176.123.7.105: 264 ms
151.101.193.224: 102 ms
185.70.42.20: 240 ms
185.70.42.37: 248 ms
185.70.42.118: 252 ms
64.239.109.1: 71 ms
guce.yahoo.com: 80 ms
34.111.108.175: 166 ms
149.154.170.200: 214 ms
149.154.170.100: 212 ms
162.125.248.18: 230 ms
23.77.21.232: 155 ms
208.80.154.240: 334 ms
162.159.136.232: 189 ms
216.66.8.43: 260 ms
registry.ipv4.docker.com: 242 ms
34.84.14.157: 116 ms
hub-origin.docker.com: 238 ms
162.159.130.233: 182 ms
162.159.130.234: 174 ms
8.212.101.92: 123 ms
104.16.223.104: 168 ms
217.20.158.136: 226 ms
185.70.42.36: 259 ms
185.70.42.40: 264 ms
205.220.231.24: 192 ms
176.119.200.8: 251 ms
185.70.42.71: 264 ms
185.70.42.69: 249 ms
185.205.70.10: 262 ms
185.70.42.70: 271 ms
194.0.147.12: 252 ms
185.70.42.45: 258 ms
118.214.247.61: 253 ms
185.70.42.51: 269 ms
185.70.42.63: 275 ms
45.192.12.153: 266 ms
185.70.42.39: 282 ms
23.19.72.223: 216 ms
149.154.174.200: 349 ms
172.66.137.6: 209 ms
104.17.67.215: 169 ms
162.159.138.60: 186 ms
104.16.25.14: 174 ms
104.18.70.106: 172 ms
66.203.127.24: 249 ms
31.216.144.5: 246 ms
37.218.242.53: 204 ms
37.218.243.72: 221 ms
146.75.117.164: 213 ms
66.203.125.15: 266 ms
195.8.215.140: 229 ms
100.57.141.104: 230 ms
[2a01:4f8:c2c:123f:64:5:2bd5:bab3]: 384 ms
210.140.139.155: 196 ms
[2a01:4f8:c2c:123f:64:5:b4de:6dfb]: 356 ms
151.101.78.208: 185 ms
[2a01:4f8:c2c:123f:64:5:ac40:9647]: 246 ms
[2a01:4f8:c2c:123f:64:5:a04f:680a]: 249 ms
192.0.77.3: 146 ms
192.0.77.40: 147 ms
5.79.104.115: 239 ms
184.50.187.66: 221 ms
108.181.143.72: 258 ms
104.16.100.215: 197 ms
[2a01:4f8:c2c:123f:64:5:2cf2:0da1]: 350 ms
[2a01:4f8:c2c:123f:64:5:36e6:4744]: 347 ms
[2a01:4f8:c2c:123f:64:5:170f:8e5b]: 335 ms
[2a01:4f8:c2c:123f:64:5:6797:9785]: 358 ms
[2a01:4f8:c2c:123f:64:5:9765:c32a]: 252 ms
[2a01:4f8:c2c:123f:64:5:23ba:e018]: 248 ms
207.241.237.2: 228 ms
140.82.113.22: 261 ms
consent.yahoo.com: 128 ms
96.126.98.220: 239 ms
140.82.114.17: 262 ms
[2a01:4f8:c2c:123f:64:5:9765:41c5]: 248 ms
198.185.159.145: 338 ms
151.101.194.167: 191 ms
5.61.23.11: 232 ms
13.33.142.102: 233 ms
162.159.130.232: 223 ms
13.35.219.115: 224 ms
149.154.174.100: 260 ms
5.61.23.30: 240 ms
103.107.198.191: 238 ms
162.159.152.17: 225 ms
13.35.222.88: 258 ms
elb-io.us-east-1.aws.dckr.io: 263 ms
146.75.36.81: 236 ms
199.232.196.193: 205 ms
13.35.185.106: 288 ms
146.75.33.140: 284 ms
192.0.80.240: 344 ms
测试结果仅供参考
**********************
PowerShell transcript end
End time: 20260814224710
**********************
